tick_ms,system_state,cap_voltage_v,vesc_mech_rpm,vesc_motor_current_a,vesc_input_current_a,vesc_duty_cycle,vesc_fault_code,requested_mode,requested_level,throttle_raw,throttle_valid,inhibit_motor_commands,assist_command_request,regen_command_request,motor_command_a
23799,REGEN,19.7,-9.545455,0.0,0.0,-0.001,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
26585,REGEN,19.6,-49.545456,1.34,0.14,-0.175,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
26697,REGEN,19.6,-95.72727,0.0,0.0,-0.088,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
26804,REGEN,19.6,-94.36364,0.0,0.0,-0.087,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
26910,REGEN,19.6,-58.18182,0.0,0.0,-0.038,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
27451,REGEN,19.6,-20.636364,4.11,0.44,-0.18,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
27638,REGEN,19.6,-50.818184,0.85,0.1,-0.156,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
27816,REGEN,19.6,-93.909096,0.0,0.0,-0.093,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
27928,REGEN,19.6,8.909091,0.0,0.0,0.003,0,REGEN,0.0,1122,True,False,0.0,2.3108834e-05,-2.3108834e-05
31399,REGEN,19.6,-9.909091,0.0,0.0,-0.008,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
31506,REGEN,19.6,-5.727273,0.0,0.0,-0.008,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
31916,REGEN,19.6,-8.454546,0.0,0.0,-0.012,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
33325,REGEN,19.6,-9.727273,0.0,0.0,-0.006,0,REGEN,0.0,1121,True,False,0.0,0.0,0.0
33525,REGEN,19.5,0.27272728,1.78,0.07,-0.066,0,REGEN,0.0,1121,True,False,0.0,1.3275411,-1.3275411
33641,REGEN,19.5,-11.454546,4.54,0.46,-0.169,0,REGEN,0.0,1120,True,False,0.0,0.0,0.0
