tick_ms,system_state,cap_voltage_v,vesc_mech_rpm,vesc_motor_current_a,vesc_input_current_a,vesc_duty_cycle,vesc_fault_code,requested_mode,requested_level,throttle_raw,throttle_valid,inhibit_motor_commands,assist_command_request,regen_command_request,motor_command_a
2103,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1125,True,False,0.0,0.0,0.0
2605,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
3109,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
3611,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
4120,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
4626,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
5127,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
5637,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
6151,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
6666,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
7167,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1124,True,False,0.0,0.0,0.0
7679,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
8192,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
8698,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1122,True,False,0.0,0.0,0.0
9212,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
9724,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
10226,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1125,True,False,0.0,0.0,0.0
10729,REGEN,16.8,0.0,0.0,0.0,0.0,0,REGEN,0.0,1123,True,False,0.0,0.0,0.0
